Friends Count	Daily Work Hours	Has PhD	Time Spent on Phone (min)
577	14	1	64.55000000000001
681	5	0	122.14999999999998
556	2	1	157.39999999999998
573	16	0	17.94999999999999
952	4	0	170.79999999999998
645	11	1	98.75
795	13	1	105.25
27	10	1	14.049999999999997
619	8	0	88.85
555	1	1	165.25
339	11	1	52.849999999999994
797	2	0	163.55
957	2	1	217.54999999999998
330	0	0	109.5
639	7	1	129.85
505	7	0	79.75
347	10	1	62.05
472	8	1	96.80000000000001
230	4	0	62.5
189	13	0	-15.650000000000006
224	2	1	107.6
384	4	0	85.6
376	4	0	84.4
282	13	0	-1.7000000000000028
957	3	0	179.54999999999998
632	12	1	88.80000000000001
627	9	1	112.05000000000001
972	7	0	149.79999999999998
744	7	0	115.6
258	6	0	50.69999999999999
358	7	0	57.69999999999999
709	13	1	92.35
455	5	1	118.25
410	0	0	121.5
648	14	0	45.19999999999999
317	0	0	107.55
676	16	1	63.39999999999998
224	0	0	93.6
818	14	1	100.69999999999999
233	1	0	86.94999999999999
683	13	1	88.44999999999999
663	7	0	103.44999999999999
974	7	1	180.1
826	6	0	135.89999999999998
373	5	0	75.94999999999999
671	5	0	120.64999999999998
607	2	1	165.05
471	6	0	82.64999999999998
232	7	1	68.8
691	9	1	121.64999999999998
112	14	0	-35.2
829	14	0	72.35
496	0	0	134.39999999999998
441	6	1	108.14999999999999
563	3	0	120.44999999999999
267	5	1	90.05
509	0	1	166.35
806	4	0	148.89999999999998
385	0	0	117.75
386	3	0	93.9
112	1	0	68.8
612	9	0	79.80000000000001
624	4	0	121.6
951	9	1	160.65
80	0	1	102.0
698	5	1	154.7
112	12	0	-19.200000000000003
1	14	1	-21.85
641	3	1	162.14999999999998
219	12	1	26.849999999999994
565	14	1	62.75
854	7	1	162.1
996	4	0	177.4
735	14	0	58.25
224	3	1	99.6
384	11	1	59.599999999999994
402	12	1	54.3
637	1	0	147.55
129	3	0	55.349999999999994
52	3	1	73.8
683	10	0	82.44999999999999
729	4	0	137.35
671	10	1	110.64999999999998
709	9	0	94.35
415	7	0	66.25
246	5	1	86.9
835	5	0	145.25
438	7	0	69.7
202	14	1	8.299999999999997
183	13	0	-16.549999999999997
122	10	0	-1.7000000000000028
400	11	1	62.0
766	12	1	108.89999999999998
293	7	1	77.94999999999999
279	0	0	101.85
836	14	1	103.39999999999998
883	7	0	136.45
609	10	1	101.35
197	11	0	1.5499999999999972
981	11	1	149.15
906	3	1	201.9
510	15	1	46.5
751	3	1	178.64999999999998
143	4	0	49.45
608	4	1	149.2
200	7	1	64.0
123	9	0	6.450000000000003
186	16	1	-10.099999999999994
325	8	0	44.75
463	13	1	55.44999999999999
348	7	1	86.19999999999999
770	8	1	141.5
659	10	0	78.85
763	0	1	204.45
954	13	1	129.1
931	4	1	197.65
402	13	0	16.299999999999997
345	3	0	87.75
962	0	1	234.29999999999998
510	7	0	80.5
146	14	1	-0.09999999999999432
147	14	1	0.04999999999999716
863	8	1	155.45
710	8	1	132.5
819	9	1	140.85
488	8	1	99.19999999999999
928	2	1	213.2
935	10	0	120.25
639	5	0	115.85
550	1	0	134.5
337	6	0	62.55
871	1	0	182.65
640	16	0	28.0
778	10	0	96.69999999999999
987	11	1	150.04999999999998
952	6	1	184.79999999999998
472	5	1	120.80000000000001
945	0	1	231.75
150	16	0	-45.5
414	10	0	42.099999999999994
989	16	1	110.35
297	6	1	86.55
610	16	0	23.5
262	8	1	65.3
763	16	1	76.44999999999999
143	7	1	55.45
345	16	1	13.75
623	6	0	105.44999999999999
571	0	1	175.64999999999998
880	12	1	126.0
1	16	0	-67.85
896	12	0	98.4
303	15	1	15.449999999999989
253	7	0	41.94999999999999
651	0	1	187.64999999999998
452	13	1	53.8
36	14	0	-46.599999999999994
159	1	1	105.85
8	16	1	-36.8
232	5	1	84.8
98	3	1	80.7
658	0	0	158.7
815	7	0	126.25
207	6	1	73.05
130	2	0	63.5
403	9	1	78.44999999999999
151	9	1	40.650000000000006
53	13	1	-6.049999999999997
119	1	1	99.85
672	0	1	190.8
919	6	0	149.85
627	7	1	128.05
586	0	0	147.89999999999998
624	2	0	137.6
967	7	1	179.04999999999998
419	14	1	40.849999999999994
421	4	1	121.15
103	2	1	89.45
851	0	1	217.64999999999998
253	14	0	-14.050000000000011
226	7	1	67.9
111	1	1	98.65
509	2	0	120.35
472	13	0	26.80000000000001
98	13	1	0.7000000000000028
152	10	0	2.799999999999997
860	15	1	99.0
913	3	0	172.95
895	4	0	162.25
877	13	1	117.54999999999998
337	15	0	-9.450000000000003
705	6	0	117.75
821	9	0	111.14999999999998
162	6	0	36.3
719	0	0	167.85
956	15	0	83.4
680	3	1	168.0
995	1	1	231.25
160	0	0	84.0
579	14	1	64.85
800	4	1	178.0
397	10	1	69.55
276	9	0	29.400000000000006
815	1	1	204.25
915	2	0	181.25
503	11	1	77.44999999999999
895	4	0	162.25
391	4	0	86.65
134	5	1	70.1
194	8	1	55.099999999999994
400	1	0	112.0
639	11	1	97.85
32	2	1	78.8
687	11	1	105.05000000000001
459	16	0	0.8499999999999943
954	9	0	131.1
882	13	1	118.29999999999998
469	16	1	32.349999999999994
374	16	1	18.099999999999994
21	13	0	-40.85
749	8	0	108.35
669	7	1	134.35
37	1	1	87.55
229	12	1	28.349999999999994
364	6	1	96.6
562	8	1	110.30000000000001
437	10	1	75.55
775	13	0	72.25
282	3	1	108.3
26	12	0	-32.1
225	1	1	115.75
276	4	1	99.4
797	10	0	99.55000000000001
608	5	0	111.19999999999999
283	9	0	30.44999999999999
878	3	0	167.7
959	8	1	169.85
480	5	0	92.0
452	1	1	149.8
828	16	0	56.19999999999999
815	4	1	180.25
658	5	1	148.7
515	11	1	79.25
546	9	1	99.89999999999998
191	5	1	78.65
48	7	1	41.2
511	1	0	128.64999999999998
16	11	1	4.399999999999999
171	12	0	-10.349999999999994
219	6	0	44.849999999999994
157	9	1	41.55
476	12	0	35.39999999999998
45	16	1	-31.25
372	13	0	11.799999999999997
517	1	1	159.55
98	10	0	-5.299999999999997
891	0	1	223.65
744	3	1	177.6
36	10	1	15.400000000000006
279	7	1	75.85
348	10	0	32.19999999999999
496	3	1	140.39999999999998
301	16	0	-22.849999999999994
180	6	0	39.0
606	7	0	94.89999999999998
98	2	1	88.7
699	1	0	156.85
992	14	0	96.79999999999998
115	4	0	45.25
190	0	1	118.5
252	3	1	103.8
980	14	0	95.0
927	2	1	213.04999999999998
982	10	1	157.29999999999998
160	16	0	-44.0
255	12	0	2.25
322	10	1	58.3
127	1	0	71.05
17	8	1	28.549999999999997
792	1	1	200.8
734	8	1	136.1
565	8	1	110.75
569	7	1	119.35
322	16	1	10.299999999999997
871	0	0	190.65
685	10	0	82.75
791	7	1	152.64999999999998
625	9	1	111.75
287	6	1	85.05
942	2	0	185.29999999999998
853	2	1	201.95
662	4	0	127.30000000000001
961	11	1	146.15
638	11	1	97.69999999999999
154	5	0	43.099999999999994
489	1	0	125.35
385	11	1	59.75
985	4	1	205.75
784	11	1	119.6
103	16	0	-52.55
928	16	0	71.19999999999999
392	9	0	46.8
810	16	0	53.5
245	14	0	-15.25
175	11	0	-1.75
38	15	1	-24.299999999999997
476	7	1	105.39999999999998
681	16	0	34.14999999999998
758	4	1	171.7
537	15	1	50.55000000000001
866	5	0	149.9
817	7	1	156.55
920	11	0	110.0
407	14	0	9.049999999999997
524	8	1	104.6
827	12	0	88.05000000000001
505	14	0	23.75
902	9	0	123.29999999999998
824	15	0	63.599999999999994
35	6	0	17.25
684	16	0	34.599999999999994
19	6	0	14.850000000000001
320	13	0	4.0
775	14	1	94.25
511	6	1	118.64999999999998
399	8	1	85.85
653	15	0	37.94999999999999
971	7	0	149.65
882	6	1	174.29999999999998
470	2	1	144.5
142	9	1	39.3
91	6	0	25.650000000000006
353	16	1	14.949999999999989
833	13	1	110.94999999999999
799	2	0	163.85
726	11	1	110.89999999999998
958	12	0	107.69999999999999
853	1	0	179.95
50	2	0	51.5
664	4	1	157.6
697	10	1	114.55000000000001
574	7	0	90.1
189	11	1	30.349999999999994
124	6	1	60.599999999999994
149	14	1	0.3499999999999943
313	16	1	8.949999999999989
569	3	0	121.35
341	12	1	45.150000000000006
304	0	0	105.6
691	15	0	43.64999999999998
681	12	1	96.14999999999998
837	9	0	113.55000000000001
782	11	1	119.30000000000001
53	1	1	89.95
443	2	0	110.45
612	9	0	79.80000000000001
992	1	0	200.79999999999998
263	12	0	3.4499999999999886
52	12	1	1.7999999999999972
571	2	1	159.64999999999998
619	6	1	134.85
4	13	0	-43.4
102	16	0	-52.7
195	11	0	1.25
773	15	1	85.94999999999999
876	11	0	103.4
991	14	1	126.65
883	9	0	120.44999999999999
349	6	1	94.35
46	4	1	64.9
866	0	0	189.9
822	16	0	55.30000000000001
935	2	1	214.25
819	12	1	116.85
655	13	0	54.25
268	3	0	76.19999999999999
369	4	1	113.35
635	15	0	35.25
105	0	1	105.75
669	13	1	86.35
658	14	0	46.69999999999999
656	8	0	94.39999999999998
119	14	0	-34.150000000000006
830	16	0	56.5
786	3	0	153.89999999999998
603	11	1	92.44999999999999
57	4	1	66.55
950	4	0	170.5
345	10	0	31.75
740	5	0	131.0
473	6	1	112.94999999999999
116	13	0	-26.599999999999994
829	10	0	104.35
790	12	1	112.5
126	1	1	100.9
392	6	0	70.8
907	3	0	172.04999999999998
640	7	0	100.0
57	12	1	2.549999999999997
633	13	0	50.94999999999999
512	9	0	64.80000000000001
750	10	0	92.5
801	1	1	202.14999999999998
95	8	1	40.25
637	16	0	27.55000000000001
117	2	0	61.55
559	5	1	133.85
600	4	1	148.0
487	4	1	131.05
236	14	1	13.400000000000006
884	16	1	94.6
896	8	1	160.4
271	2	1	114.65
188	16	1	-9.799999999999997
998	9	1	167.7
703	2	0	149.45
446	16	0	-1.1000000000000085
580	2	0	131.0
789	2	1	192.35
860	5	0	149.0
246	12	1	30.900000000000006
962	14	1	122.29999999999998
75	8	0	7.25
153	3	1	88.95
655	13	0	54.25
434	4	0	93.1
996	1	0	201.4
85	10	1	22.75
696	8	0	100.39999999999998
284	2	1	116.6
973	8	0	141.95
219	2	0	76.85
68	1	0	62.2
46	11	1	8.900000000000006
93	9	1	31.950000000000003
749	8	1	138.35
957	14	0	91.54999999999998
452	7	0	71.8
203	4	1	88.45
911	10	1	146.65
217	1	1	114.55
473	14	1	48.94999999999999
431	5	1	114.64999999999999
340	7	1	85.0
550	4	0	110.5
611	15	1	61.64999999999998
288	5	0	63.19999999999999
253	4	0	65.94999999999999
733	15	1	79.94999999999999
356	12	1	47.400000000000006
22	4	0	31.299999999999997
761	12	1	108.14999999999998
521	16	1	40.14999999999998
757	7	0	117.55000000000001
836	12	0	89.39999999999998
99	2	0	58.849999999999994
801	7	1	154.14999999999998
179	1	0	78.85
222	7	1	67.3
905	12	0	99.75
761	12	0	78.14999999999998
658	0	0	158.7
441	5	1	116.14999999999999
607	15	1	61.05000000000001
768	7	0	119.19999999999999
324	0	0	108.6
515	15	0	17.25
15	8	1	28.25
791	12	0	82.64999999999998
335	10	1	60.25
758	12	0	77.69999999999999
257	9	0	26.549999999999997
496	3	0	110.39999999999998
987	5	0	168.04999999999998
895	6	0	146.25
159	4	0	51.849999999999994
474	10	1	81.1
851	12	0	91.64999999999998
663	9	1	117.44999999999999
907	9	0	124.04999999999998
689	10	0	83.35
674	6	1	143.1
379	3	0	92.85
544	1	1	163.6
928	13	1	125.19999999999999
956	12	0	107.4
690	11	1	105.5
426	6	1	105.9
612	1	0	143.8
267	12	1	34.05
834	13	0	81.1
576	16	0	18.399999999999977
416	8	0	58.400000000000006
167	16	0	-42.95
841	7	1	160.14999999999998
42	1	0	58.3
555	12	0	47.25
284	2	1	116.6
396	15	0	-0.5999999999999943
11	5	0	21.65
606	6	1	132.89999999999998
301	9	1	63.150000000000006
897	8	1	160.54999999999998
252	1	1	119.8
498	14	1	52.69999999999999
753	4	1	170.95
34	3	1	71.1
726	3	0	144.89999999999998
848	3	1	193.2
89	16	1	-24.650000000000006
775	11	1	118.25
604	16	0	22.599999999999994
921	9	0	126.15
969	0	1	235.35
601	13	1	76.14999999999998
417	14	1	40.55
114	11	0	-10.900000000000006
616	3	0	128.39999999999998
902	2	1	209.29999999999998
195	11	0	1.25
825	6	1	165.75
500	10	0	55.0
625	0	0	153.75
492	5	1	123.80000000000001
74	14	1	-10.900000000000006
412	14	1	39.8
375	10	1	66.25
419	1	0	114.85
728	13	0	65.19999999999999
276	1	0	93.4
760	3	1	180.0
675	16	0	33.25
393	2	1	132.95
868	12	0	94.19999999999999
456	8	1	94.39999999999998
919	6	1	179.85
191	14	0	-23.349999999999994
738	10	1	120.69999999999999
688	1	1	185.2
98	14	0	-37.3
547	13	1	68.05000000000001
977	10	1	156.54999999999998
998	2	1	223.7
95	16	0	-53.75
663	11	0	71.44999999999999
662	14	1	77.30000000000001
189	15	0	-31.650000000000006
735	4	1	168.25
36	5	1	55.400000000000006
779	4	1	174.85
368	2	1	129.2
694	0	1	194.1
524	5	0	98.6
278	14	1	19.69999999999999
216	1	0	84.4
866	2	0	173.9
872	16	1	92.79999999999998
797	11	1	121.55000000000001
272	14	0	-11.200000000000003
880	11	0	104.0
61	15	0	-50.849999999999994
595	7	1	123.25
879	13	0	87.85
728	16	1	71.19999999999999
341	7	1	85.15
396	14	1	37.400000000000006
698	13	0	60.69999999999999
18	6	1	44.7
176	2	1	100.4
611	11	1	93.64999999999998
395	2	1	133.25
444	13	1	52.599999999999994
232	14	0	-17.200000000000003
914	13	1	123.1
75	6	1	53.25
264	16	0	-28.400000000000006
454	11	1	70.1
795	3	0	155.25
717	8	1	133.55
734	5	0	130.1
383	15	0	-2.5500000000000114
563	1	1	166.45
850	7	1	161.5
505	10	1	85.75
366	12	0	18.900000000000006
143	16	0	-46.55
884	7	0	136.6
68	13	1	-3.799999999999997
98	14	0	-37.3
395	5	0	79.25
24	10	1	13.600000000000001
947	12	0	106.04999999999998
890	0	0	193.5
468	5	1	120.19999999999999
483	8	0	68.44999999999999
564	7	1	118.6
150	10	1	32.5
143	8	1	47.45
568	16	1	47.19999999999999
38	11	1	7.700000000000003
108	13	0	-27.799999999999997
692	14	0	51.80000000000001
41	15	1	-23.849999999999994
185	0	1	117.75
934	9	0	128.1
397	7	1	93.55
222	0	1	123.3
633	1	1	176.95
132	0	0	79.8
162	0	0	84.3
214	8	1	58.099999999999994
732	12	1	103.80000000000001
234	0	0	95.1
842	12	0	90.30000000000001
657	6	1	140.55
750	1	1	194.5
587	5	0	108.05000000000001
8	6	0	13.200000000000003
73	13	0	-33.05
953	14	1	120.94999999999999
491	1	0	125.64999999999998
912	9	1	154.79999999999998
252	11	0	9.799999999999997
229	16	0	-33.650000000000006
518	7	0	81.69999999999999
173	10	0	5.950000000000003
652	2	1	171.8
167	5	1	75.05
169	8	0	21.349999999999994
392	5	1	108.8
945	8	0	137.75
794	6	0	131.1
633	8	0	90.94999999999999
193	11	0	0.9500000000000028
516	7	1	111.39999999999998
28	7	0	8.200000000000003
164	14	0	-27.400000000000006
421	6	1	105.15
338	10	0	30.69999999999999
647	15	0	37.05000000000001
495	3	0	110.25
364	5	1	104.6
832	2	0	168.8
341	8	1	77.15
499	9	0	62.849999999999994
656	13	0	54.39999999999998
510	10	1	86.5
326	11	0	20.900000000000006
216	11	0	4.400000000000006
300	12	1	39.0
131	12	1	13.650000000000006
803	13	1	106.44999999999999
69	3	1	76.35
251	12	1	31.650000000000006
414	7	0	66.1
786	11	1	119.89999999999998
444	5	0	86.6
875	4	0	159.25
181	8	0	23.150000000000006
166	2	1	98.9
90	9	1	31.5
713	2	0	150.95
857	14	1	106.54999999999998
530	0	1	169.5
38	6	1	47.7
125	11	1	20.75
450	16	0	-0.5
172	4	0	53.8
652	3	1	163.8
753	11	0	84.94999999999999
219	16	1	-5.150000000000006
637	8	1	121.55000000000001
57	3	0	44.55
659	1	0	150.85
475	3	0	107.25
455	1	1	150.25
828	14	0	72.19999999999999
894	1	1	216.1
360	3	0	90.0
934	5	0	160.1
0	6	1	42.0
386	9	1	75.9
972	11	1	147.79999999999998
347	2	1	126.05
189	12	1	22.349999999999994
504	7	1	109.6
190	14	1	6.5
507	0	1	166.05
368	2	0	99.19999999999999
408	7	1	95.19999999999999
823	3	1	189.45
928	15	0	79.19999999999999
933	9	1	157.95
116	11	0	-10.599999999999994
133	13	0	-24.049999999999997
57	13	1	-5.450000000000003
555	1	0	135.25
684	4	1	160.6
671	4	0	128.64999999999998
172	5	0	45.8
828	12	0	88.19999999999999
814	8	1	148.1
148	14	1	0.20000000000000284
79	13	0	-32.150000000000006
885	6	0	144.75
212	1	1	113.8
202	6	1	72.3
763	5	0	134.45
228	16	0	-33.80000000000001
675	1	1	183.25
226	2	1	107.9
658	4	1	156.7
531	4	1	137.64999999999998
440	0	1	156.0
401	7	0	64.15
46	11	1	8.900000000000006
232	3	0	70.8
304	12	1	39.599999999999994
525	14	0	26.75
142	10	1	31.299999999999997
414	9	1	80.1
512	2	0	120.80000000000001
372	13	0	11.799999999999997
565	15	1	54.75
885	9	1	150.75
258	9	1	56.69999999999999
655	11	1	100.25
470	8	1	96.5
952	0	0	202.79999999999998
970	4	0	173.5
11	7	1	35.65
329	10	0	29.349999999999994
735	11	0	82.25
783	0	0	177.45
967	10	1	155.04999999999998
357	4	0	81.55
971	14	1	123.65
407	4	0	89.05
667	11	1	102.05000000000001
372	4	0	83.8
7	16	1	-36.95
121	16	1	-19.849999999999994
347	11	0	24.049999999999997
675	14	1	79.25
89	14	1	-8.650000000000006
647	5	1	147.05
697	11	1	106.55000000000001
315	13	1	33.25
177	1	1	108.55
539	8	1	106.85
731	4	1	167.64999999999998
868	0	0	190.2
40	2	0	50.0
739	5	1	160.85
703	4	1	163.45
922	4	0	166.29999999999998
501	0	0	135.14999999999998
958	16	0	75.69999999999999
144	13	1	7.599999999999994
200	11	0	2.0
928	9	1	157.2
723	10	1	118.44999999999999
460	1	0	121.0
731	6	1	151.64999999999998
751	14	1	90.64999999999998
924	10	1	148.6
908	11	1	138.2
557	5	0	103.55000000000001
546	12	0	45.89999999999998
252	15	1	7.799999999999997
389	9	1	76.35
593	7	0	92.94999999999999
882	0	1	222.29999999999998
255	7	0	42.25
708	5	1	156.2
814	4	1	180.1
920	14	0	86.0
449	14	0	15.349999999999994
9	1	0	53.35
823	0	0	183.45
797	10	1	129.55
241	9	0	24.150000000000006
250	16	1	-0.5
